Country name,Regional indicator,Ladder score,Logged GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity
Finland,Western Europe,7.808700085,10.63926697,71.9008255,0.949172199,-0.059482019
Denmark,Western Europe,7.645599842,10.77400112,72.40250397,0.951444268,0.066201776
Switzerland,Western Europe,7.559899807,10.97993279,74.10244751,0.921336651,0.105911039
Iceland,Western Europe,7.504499912,10.77255917,73,0.948891878,0.246944219
Norway,Western Europe,7.487999916,11.08780384,73.20078278,0.955750287,0.13453263
Netherlands,Western Europe,7.448900223,10.81271172,72.30091858,0.908547819,0.20761244
Sweden,Western Europe,7.353499889,10.75879383,72.60076904,0.939144194,0.111614622
New Zealand,North America ,7.299600124,10.50094318,73.20262909,0.936217487,0.191598073
Austria,Western Europe,7.294199944,10.7428236,73.00250244,0.899989486,0.085429221
Luxembourg,Western Europe,7.237500191,11.45068073,72.59999847,0.90563643,-0.004620588
Canada,North America,7.23210001,10.69236851,73.60160065,0.933913231,0.124770768
Australia,North America,7.222799778,10.72059631,73.60453796,0.915431738,0.19046016
United Kingdom,Western Europe,7.164500237,10.60013485,72.30160522,0.834743679,0.263732493
Israel,Middle East ,7.128600121,10.41752529,73.20025635,0.747580588,0.10259372
Costa Rica,Latin America,7.121399879,9.658156395,71.29985046,0.934738934,-0.10242971
Ireland,Western Europe,7.093699932,11.16097832,72.30078888,0.886982977,0.145784974
Germany,Western Europe,7.075799942,10.7328186,72.20201874,0.867371082,0.080179386
United States,North America,6.939599991,10.92576885,68.29949951,0.842619538,0.149891734
Czech Republic,Eastern Europe,6.910900116,10.40416336,70.04793549,0.818537354,-0.230861515
Belgium,Western Europe,6.863500118,10.6736393,72.00164795,0.813582063,-0.078691199
United Arab Emirates,Middle East ,6.790800095,11.1099987,67.08278656,0.941345513,0.123450845
Malta,Western Europe,6.772799969,10.53383827,72.19999695,0.924911439,0.214965805
France,Western Europe,6.663799763,10.58422279,73.80193329,0.825467646,-0.130641967
Mexico,Latin America,6.465000153,9.797797203,68.29902649,0.858709276,-0.175266623
Taiwan ,East Asia,6.45539999,10.77568531,69.59999847,0.77153033,-0.073198698
Uruguay,Latin America,6.440100193,9.948192596,69.00254822,0.892395437,-0.101103112
Saudi Arabia,Middle East,6.406499863,10.79781246,66.30514526,0.854191244,-0.168695062
Spain,Western Europe,6.400899887,10.46292686,74.40270996,0.751989543,-0.050961714
Guatemala,Latin America,6.398900032,8.924805641,64.8089447,0.908147573,-0.042938665
Italy,Western Europe,6.38740015,10.48183632,73.60168457,0.66465199,-0.043460999
Singapore,Southeast Asia,6.377099991,11.39552116,76.80458069,0.926645339,0.029879224
Brazil,Latin America ,6.375599861,9.56643486,66.48016357,0.799804807,-0.101812392
Slovenia,Central Europe ,6.363399982,10.39232254,71.1029892,0.936142623,-0.080603383
El Salvador,Latin America ,6.34829998,8.909075737,66.10826111,0.833805263,-0.121072978
Kosovo,Central Europe ,6.325200081,9.204429626,63.88555527,0.861535907,0.190933764
Panama,Latin America ,6.304800034,10.03423405,69.60301208,0.880366504,-0.153927714
Slovakia,Central Europe ,6.280600071,10.34774971,68.90634155,0.749952674,-0.124409303
Uzbekistan,Central Asia,6.257599831,8.740371704,65.10757446,0.974998116,0.248427153
Chile,Latin America ,6.228499889,10.0320549,69.90061951,0.744896293,-0.065668367
Bahrain,Middle East,6.227300167,10.67638016,68.5,0.905855775,0.13372919
Lithuania,Central Europe ,6.215499878,10.34362602,67.29407501,0.747381449,-0.219725296
Trinidad,Latin America ,6.191899776,10.26000214,63.5,0.857907116,0.000526841
Poland,Central Europe ,6.186299801,10.26512432,69.31113434,0.862055779,-0.205084071
Colombia,Latin America ,6.163400173,9.500369072,67.69958496,0.836179912,-0.161235645
Cyprus,Western Europe,6.15899992,10.40570259,73.70222473,0.779858291,0.043731496
Nicaragua,Latin America ,6.13710022,8.493160248,67.50717926,0.863902867,0.020959141
Romania,Central Europe ,6.123700142,10.107584,67.20723724,0.842823207,-0.19781521
Kuwait,Middle East,6.102099895,11.08982468,66.76764679,0.872366488,-0.100184701
Mauritius,Sub-Saharan Africa,6.101299763,9.956786156,66.40434265,0.889534533,-0.018318573
Kazakhstan,Central Asia,6.057899952,10.11465836,64.60996246,0.811601937,-0.068488635
Estonia,Central Europe ,6.021800041,10.34001732,68.60495758,0.87770915,-0.111697771
Philippines,Southeast Asia,6.006000042,8.993545532,61.92676163,0.915463448,-0.105463006
Hungary,Central Europe ,6.000400066,10.24924374,67.60997009,0.718964577,-0.194323018
Thailand,Southeast Asia,5.998799801,9.741791725,67.25059509,0.905063033,0.268685192
Argentina,Latin America ,5.974699974,9.810955048,68.80380249,0.831132412,-0.194913864
Honduras,Latin America ,5.953199863,8.424534798,67.19876862,0.870603263,0.086969115
Latvia,Central Europe ,5.949999809,10.17531967,66.8074646,0.671237648,-0.186888844
Ecuador,Latin America ,5.925199986,9.246058464,68.50003815,0.859828949,-0.127014965
Portugal,Western Europe,5.910900116,10.26374245,72.40202332,0.888747811,-0.220714301
Jamaica,Latin America ,5.889800072,9.006250381,67.09999847,0.858068526,-0.125106767
South Korea,East Asia,5.872399807,10.51056671,73.6027298,0.612965107,-0.043404032
Japan,East Asia,5.870800018,10.57968903,75.00096893,0.809961379,-0.246910349
Peru,Latin America ,5.796800137,9.456313133,68.10023499,0.824766099,-0.16238822
Serbia,Central Europe ,5.77820015,9.680980682,68.21020508,0.726495862,-0.073676221
Bolivia,Latin America ,5.747499943,8.851115227,63.6004715,0.875873327,-0.09168113
Pakistan,South Asia,5.69329977,8.482727051,58.25313568,0.734833717,0.04489987
Paraguay,Latin America ,5.692100048,9.389982224,65.63993835,0.885923445,0.007997713
Dominican Republic,Latin America ,5.689199924,9.664880753,65.80748749,0.866202772,-0.131263286
Bosnia and Herzegovina,Central Europe ,5.674099922,9.455817223,67.80813599,0.651352704,0.098274559
Moldova,Europe,5.607500076,8.776714325,65.01301575,0.721609175,-0.037741039
Tajikistan,Central Asia,5.555699825,8.024810791,64.10459137,0.831383407,-0.025088511
Montenegro,Central Europe ,5.54610014,9.751860619,68.50534821,0.649565637,-0.075600356
Russia,Central Asia,5.546000004,10.12887192,64.10045624,0.729892612,-0.151153743
Kyrgyzstan,Central Asia,5.541500092,8.148405075,64.10601044,0.909374893,0.154772058
Belarus,Central Asia,5.539899826,9.779945374,66.10433197,0.639163077,-0.164926544
North Cyprus,Western Europe,5.53550005,10.40570259,73.70222473,0.79529351,0.000227159
Greece,Western Europe,5.514999866,10.13232613,72.40525818,0.541345119,-0.300907373
Hong Kong ,East Asia,5.510399818,10.9346714,76.77170563,0.779833794,0.134979904
Croatia,Central Europe ,5.504700184,10.07087517,70.21490479,0.714838803,-0.128538325
Libya,Middle East,5.488800049,9.789815903,62.29999924,0.773157001,-0.085054487
Mongolia,East Asia,5.456200123,9.412186623,62.30448532,0.693351328,0.098093867
Malaysia,Southeast Asia,5.384300232,10.26251888,67.10215759,0.894626856,0.114726797
Vietnam,Southeast Asia,5.353499889,8.809545517,67.9527359,0.939592957,-0.094533332
Indonesia,Southeast Asia,5.285600185,9.36975193,62.15584946,0.870614409,0.519586504
Ivory Coast,Sub-Saharan Africa,5.233300209,8.225561142,49.50377274,0.727909327,-0.043991156
Benin,Sub-Saharan Africa,5.21600008,7.674319744,54.31246567,0.735182583,-0.003537213
Maldives,South Asia,5.197599888,9.518632889,70.59999847,0.853962779,0.038085498
Rep. Congo ,Sub-Saharan Africa,5.194399834,8.536987305,57.92448044,0.719058514,-0.123674095
Azerbaijan,Asia,5.164800167,9.687726974,65.50839996,0.786824107,-0.240255281
Macedonia,Central Europe ,5.159800053,9.510591507,67.50442505,0.738840938,-0.019877451
Ghana,Sub-Saharan Africa,5.147999763,8.350645065,57.20398712,0.794796526,0.094170853
Nepal,South Asia,5.137199879,7.925357342,63.77917862,0.797565043,0.154168829
Turkey,Middle East,5.131800175,10.12941933,66.90281677,0.608830452,-0.171046436
China,East Asia,5.123899937,9.688568115,69.2891922,0.898517907,-0.18142575
Turkmenistan,Asia,5.119100094,9.74803257,62.21170807,0.826457024,0.187671542
Bulgaria,Central Europe ,5.101500034,9.869318962,66.80397797,0.745178163,-0.143908441
Morocco,Middle East,5.094799995,8.940313339,65.89624023,0.772072434,-0.240377247
Cameroon,Sub-Saharan Africa,5.084899902,8.118647575,52.7049408,0.763051808,-0.00149645
Venezuela,Latin America ,5.053199768,8.977793694,66.50534058,0.62327832,-0.169090509
Algeria,Middle East,5.005099773,9.537964821,65.90517426,0.466610909,-0.121105164
Senegal,Sub-Saharan Africa,4.980800152,8.118982315,59.59915161,0.690596163,-0.052335154
Guinea,Sub-Saharan Africa,4.949299812,7.750990391,54.46780014,0.706846774,0.076328471
Niger,Sub-Saharan Africa,4.909599781,6.842166901,53.50009537,0.759772122,0.013860817
Laos,Southeast Asia,4.888599873,8.79858017,58.70992279,0.907213569,0.11137148
Albania,Central Europe ,4.882699966,9.417930603,68.70813751,0.781994224,-0.042309489
Cambodia,Southeast Asia,4.848400116,8.249890327,61.52996826,0.959704638,0.051911179
Bangladesh,South Asia,4.832799911,8.287063599,64.50306702,0.90062499,-0.033664726
Gabon,Sub-Saharan Africa,4.829299927,9.680537224,59.71533966,0.704829216,-0.222261623
South Africa,Sub-Saharan Africa,4.814099789,9.403370857,56.50601196,0.759330094,-0.109777324
Iraq,Middle East,4.784800053,9.661095619,59.90354919,0.633182645,-0.06956476
Lebanon,Middle East,4.771500111,9.3617239,67.10658264,0.551357508,-0.06121527
Burkina Faso,Sub-Saharan Africa,4.768700123,7.46854496,53.88945389,0.665563583,-0.019080516
Gambia,Sub-Saharan Africa,4.750599861,7.321814537,55.0120163,0.733163178,0.343198717
Mali,Sub-Saharan Africa,4.729300022,7.629852295,51.72698212,0.71156615,-0.044366926
Nigeria,Sub-Saharan Africa,4.724100113,8.57662487,49.86190796,0.759578407,0.033745807
Armenia,Asia,4.676799774,9.100476265,66.75065613,0.712017834,-0.13877961
Georgia,East Europe,4.672599792,9.226100922,64.49520874,0.801641524,-0.22892037
Iran,Middle East,4.672399998,9.813719749,66.00614929,0.647873282,0.117891103
Jordan,Middle East,4.633399963,9.025999069,66.79975128,0.75104779,-0.162565202
Mozambique,Sub-Saharan Africa,4.623600006,7.069345951,54.20582199,0.864451885,0.032375868
Kenya,Sub-Saharan Africa,4.583000183,8.02977562,60.09693146,0.829747558,0.294681519
Namibia,Sub-Saharan Africa,4.571100235,9.203141212,56.50148773,0.767520964,-0.18530646
Ukraine,East Europe,4.56069994,9.010690689,64.60678101,0.663081884,-0.030933706
Liberia,Sub-Saharan Africa,4.557899952,7.054380417,56.09631348,0.735268712,0.04227322
Palestinian ,Middle East ,4.552800179,8.389223099,62.25,0.645791829,-0.162079096
Uganda,Sub-Saharan Africa,4.43200016,7.500389576,55.70820236,0.731713951,0.099487431
Chad,Sub-Saharan Africa,4.422699928,7.467963696,48.22053909,0.587305248,0.017834719
Tunisia,Middle East ,4.392199993,9.314972878,66.89785767,0.593361557,-0.216413811
Mauritania,Sub-Saharan Africa,4.374599934,8.233919144,57.01017761,0.551522553,-0.106008142
Sri Lanka,South Asia,4.327000141,9.389969826,67.20006561,0.837633669,0.081129618
